======================================================================
CASH DRAG REPORT
Generated: 2026-08-19 22:31:20
======================================================================

Days analyzed: 87
  Within target  : 23 (26.4%)
  Above target   : 64 (73.6%)
  Below target   : 0 (0.0%)
  Invalid data   : 0 (0.0%)

Regime targets: HIGH 30-50%, NORMAL 15-30%, LOW 10-20%

Per-day detail (most recent last):
----------------------------------------------------------------------
Date         Regime     Cash % Target         Status   Trades      Cap
----------------------------------------------------------------------
2026-02-17   normal      80.0% 15-30%         above         1        -
2026-02-19   normal      37.4% 15-30%         above         5        -
2026-02-20   normal      56.7% 15-30%         above         3        -
2026-02-23   normal      53.9% 15-30%         above         4        -
2026-02-25   normal      68.8% 15-30%         above         2        -
2026-02-26   normal      49.5% 15-30%         above         2        -
2026-02-27   normal      40.1% 15-30%         above         2        -
2026-03-02   normal      47.2% 15-30%         above         2        -
2026-03-03   normal      50.5% 15-30%         above         1        -
2026-03-04   normal      43.1% 15-30%         above         2        -
2026-03-05   normal      40.0% 15-30%         above         2        -
2026-03-06   normal      40.3% 15-30%         above         0        -
2026-03-09   normal      36.2% 15-30%         above         2        -
2026-03-10   normal      29.6% 15-30%         ok            2        -
2026-03-11   normal      25.4% 15-30%         ok            2        -
2026-03-12   normal      49.1% 15-30%         above         3        -
2026-03-13   normal      42.7% 15-30%         above         3        -
2026-03-16   normal      32.6% 15-30%         above         2        -
2026-03-17   normal      36.8% 15-30%         above         3        -
2026-03-18   normal      31.2% 15-30%         above         3        -
2026-03-19   normal      37.4% 15-30%         above         3        -
2026-03-20   normal      66.4% 15-30%         above         2        -
2026-03-23   normal      61.8% 15-30%         above         1        -
2026-03-24   normal      61.8% 15-30%         above         0        -
2026-03-25   normal      61.6% 15-30%         above         0        -
2026-03-26   normal      86.2% 15-30%         above         2        -
2026-03-27   normal      86.3% 15-30%         above         0        -
2026-03-30   normal      92.6% 15-30%         above         1        -
2026-03-31   normal      92.6% 15-30%         above         0        -
2026-04-01   normal      85.4% 15-30%         above         2        -
2026-04-02   normal      73.0% 15-30%         above         2        -
2026-04-03   normal      76.8% 15-30%         above         1        -
2026-04-06   normal      71.5% 15-30%         above         1        -
2026-04-07   normal      71.5% 15-30%         above         0        -
2026-04-08   normal      75.9% 15-30%         above         1        -
2026-04-09   normal      72.2% 15-30%         above         1        -
2026-04-10   normal      68.6% 15-30%         above         1        -
2026-04-13   normal      80.4% 15-30%         above         1        -
2026-04-15   normal      88.0% 15-30%         above         1        -
2026-04-16   normal      88.1% 15-30%         above         0        -
2026-04-22   normal      88.1% 15-30%         above         0        -
2026-04-23   normal      88.0% 15-30%         above         0        -
2026-04-30   normal      94.8% 15-30%         above         1        -
2026-05-07   normal      85.3% 15-30%         above         1        -
2026-05-11   normal      76.8% 15-30%         above         0        -
2026-05-14   normal      70.6% 15-30%         above         1        -
2026-05-21   normal      69.9% 15-30%         above         0        -
2026-05-22   normal      81.4% 15-30%         above         1        -
2026-05-28   normal      77.6% 15-30%         above         2        -
2026-06-01   normal      70.1% 15-30%         above         0        -
2026-06-04   normal      57.9% 15-30%         above         2        -
2026-06-05   normal      58.4% 15-30%         above         0      0/2
2026-06-18   normal      70.9% 15-30%         above         4      2/2
2026-06-19   normal      70.9% 15-30%         above         0      2/2
2026-06-26   normal      76.5% 15-30%         above         1      1/3
2026-06-30   normal      58.3% 15-30%         above         2      3/3
2026-07-01   normal      58.6% 15-30%         above         0      3/3
2026-07-03   normal      58.5% 15-30%         above         0      3/3
2026-07-07   normal      37.4% 15-30%         above         2      3/3
2026-07-08   normal      37.5% 15-30%         above         0      3/3
2026-07-09   normal      37.3% 15-30%         above         0      3/3
2026-07-10   normal      37.3% 15-30%         above         0      3/3
2026-07-13   normal      27.0% 15-30%         ok            2      2/3
2026-07-14   normal      26.9% 15-30%         ok            0      2/3
2026-07-15   normal      26.9% 15-30%         ok            0      2/3
2026-07-16   normal      27.0% 15-30%         ok            0      2/3
2026-07-17   normal      27.0% 15-30%         ok            0      2/3
2026-07-20   normal      27.0% 15-30%         ok            0      0/3
2026-07-21   normal      26.8% 15-30%         ok            0      0/3
2026-07-22   normal      26.0% 15-30%         ok            2      2/3
2026-07-23   normal      34.5% 15-30%         above         0      2/3
2026-07-24   normal      34.4% 15-30%         above         0      2/3
2026-07-27   normal      24.8% 15-30%         ok            2      2/3
2026-07-28   normal      26.8% 15-30%         ok            0      3/3
2026-07-30   normal      26.8% 15-30%         ok            0      3/3
2026-07-31   normal      26.8% 15-30%         ok            0      3/3
2026-08-03   normal      26.6% 15-30%         ok            0      0/3
2026-08-06   normal      26.4% 15-30%         ok            0      0/3
2026-08-07   normal      37.7% 15-30%         above         1      2/3
2026-08-10   normal      25.7% 15-30%         ok            2      2/3
2026-08-11   normal      25.7% 15-30%         ok            0      2/3
2026-08-12   normal      25.7% 15-30%         ok            0      2/3
2026-08-13   normal      25.7% 15-30%         ok            0      2/3
2026-08-14   normal      30.5% 15-30%         above         0      3/3
2026-08-17   normal      19.6% 15-30%         ok            2      3/3
2026-08-18   normal      19.7% 15-30%         ok            0      3/3
2026-08-19   normal      19.6% 15-30%         ok            0      3/3

======================================================================
DIAGNOSIS
======================================================================
Cash-drag days (above target with cap headroom): 54
Cap-binding days (above target but cap reached): 10

Interpretation:
- drag days    → prompt is not deploying cash aggressively enough
- cap days     → the weekly trade cap is the binding constraint
